,Title,Area,Price,SqrFt,Sq.Price,Date
0,"
			            		
			            			
			            			
			            				1 BHK  House
			            			
			            		
			            		
			            	
							
								
								
								
		            				for Sale in
		            			
								
							
							
								
								
				                	BelleVue Vieraaa, 
								
							
		                	
		                		
						           
							         
							         	Bavla
							         
							          
			        				 
						        
	         		    		
		           			
		           			
                   ","\r\t\t            \t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\r\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t                \tBelleVue Vieraaa, \r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\t\t                \t\r\t\t                \t\t\r\t\t\t\t\t\t           \r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t         \tBavla\r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t          \r\t\t\t        \t\t\t\t \r\t\t\t\t\t\t        \r\t         \t\t    \t\t\r\t\t           \t\t\t\r\t\t           \t\t\t\r                   ",2950000000,80 sqyrd,2222  per sqft,"Apr 30, '20"
1,"
			            		
			            			
			            			
			            				6 BHK Villa
			            			
			            		
			            		
			            	
							
								
								
								
		            				for Sale in
		            			
								
							
							
								
								
				                	Adani Shantigram, 
								
							
		                	
		                		
						           
							         
							         	SG Highway
							         
							          
			        				 
						        
	         		    		
		           			
		           			
                   ","\r\t\t            \t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\r\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t                \tAdani Shantigram, \r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\t\t                \t\r\t\t                \t\t\r\t\t\t\t\t\t           \r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t         \tSG Highway\r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t          \r\t\t\t        \t\t\t\t \r\t\t\t\t\t\t        \r\t         \t\t    \t\t\r\t\t           \t\t\t\r\t\t           \t\t\t\r                   ",X,"15,300 sqft",6176  per sqft,"May 01, 2020"
2,"
			            		
			            			
			            			
			            				4 BHK Villa
			            			
			            		
			            		
			            	",Ahmedabad,X,700 sqyrd,NaN,"May 01, '20"
3,"
			            		
			            			
			            			
			            				4 BHK Villa
			            			
			            		
			            		
			            	
							
								
								
								
		            				for Sale in
		            			
								
							
							
								
								
				                	Safal Vihaan, 
								
							
		                	
		                		
						           
							         
							         	Sanathal
							         
							          
			        				 
						        
	         		    		
		           			
		           			
                   ","\r\t\t            \t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\r\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t                \tSafal Vihaan, \r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\t\t                \t\r\t\t                \t\t\r\t\t\t\t\t\t           \r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t         \tSanathal\r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t          \r\t\t\t        \t\t\t\t \r\t\t\t\t\t\t        \r\t         \t\t    \t\t\r\t\t           \t\t\t\r\t\t           \t\t\t\r                   ",X,500 sqyrd,95000  per sqft,"May 02, 2020"
4,"
			            		
			            			
			            			
			            				4 BHK Villa
			            			
			            		
			            		
			            	",Ahmedabad,X,1960 sqft,NaN,"May 01, 2020"
5,"
			            		
			            			
			            			
			            				2 BHK  House
			            			
			            		
			            		
			            	
							
								
								
								
		            				for Sale in
		            			
								
							
							
								
								
							
		                	
		                		
						           
							         
							         	Vaishno Devi
							         
							          
			        				 
						        
	         		    		
		           			
		           			
                   ",\r\t\t            \t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\r\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\t\t                \t\r\t\t                \t\t\r\t\t\t\t\t\t           \r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t         \tVaishno Devi\r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t          \r\t\t\t        \t\t\t\t \r\t\t\t\t\t\t        \r\t         \t\t    \t\t\r\t\t           \t\t\t\r\t\t           \t\t\t\r                   ,X,136 sqyrd,3840  per sqft,"May 02, 2020"
6,"
			            		
			            			
			            			
			            				4 BHK Villa
			            			
			            		
			            		
			            	
							
								
								
								
		            				for Sale in
		            			
								
							
							
								
								
				                	Shivalik Lakeview, 
								
							
		                	
		                		
						           
							         
							         	Manipur
							         
							          
			        				 
						        
	         		    		
		           			
		           			
                   ","\r\t\t            \t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\r\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t                \tShivalik Lakeview, \r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\t\t                \t\r\t\t                \t\t\r\t\t\t\t\t\t           \r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t         \tManipur\r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t          \r\t\t\t        \t\t\t\t \r\t\t\t\t\t\t        \r\t         \t\t    \t\t\r\t\t           \t\t\t\r\t\t           \t\t\t\r                   ",X,396 sqyrd,31272  per sqft,"May 01, 2020"
7,"
			            		
			            			
			            			
			            				5 BHK Villa
			            			
			            		
			            		
			            	
							
								
								
								
		            				for Sale in
		            			
								
							
							
								
								
							
		                	
		                		
						           
							         
							         	Prahlad Nagar
							         
							          
			        				 
						        
	         		    		
		           			
		           			
                   ",\r\t\t            \t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\r\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\t\r\t\t\t\t\t\t\t\r\t\t                \t\r\t\t                \t\t\r\t\t\t\t\t\t           \r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t         \tPrahlad Nagar\r\t\t\t\t\t\t\t         \r\t\t\t\t\t\t\t          \r\t\t\t        \t\t\t\t \r\t\t\t\t\t\t        \r\t         \t\t    \t\t\r\t\t           \t\t\t\r\t\t           \t\t\t\r                   ,X,525 sqyrd,13757  per sqft,"May 01, 2020"
8,"
			            		
			            			
			            			
			            				4 BHK Villa
			            			
			            		
			            		
			            	
							
								
								
								
		            				for Sale in
		            			
								
							
							
								
								
				                	SHARNAM COUNTY, 
								
							
		                	
		                		
						           
							         
							         	Bopal
							         
							          
			        				 
						        
	         		    		
		           			
		           			
